id,name,archived,payerId,createdAt,updatedAt
11840,IDA,f,54763,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11273,1199 National Benefit Fund,f,13162,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11274,4Most,f,61425,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11306,Aetna Medicare Advantage,f,60054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11307,Aetna Senior Supplemental Insurance,f,60054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11308,Aetna Student Health,f,60054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11309,Aetna TX Medicaid & CHIP,f,38692,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11310,Affinity Essentials,f,23334,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11311,Affinity Health Plan,f,13334,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11312,Affinity Medicaid,f,13334,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11313,AFTRA Health Plans,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11314,"Agate Resources, Inc (LIPA)",f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11526,Cenpatico -OHIO,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11527,Cenpatico Arizona,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11275,AARP Medicare Supplement/Fixed Indemnity by UnitedHealthcare,f,36273,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11276,AARP MedicareComplete by SecureHorizons,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11277,Abri Health Plan,f,ABRI1,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11278,Absolute Total Care,f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11279,Ace Industries - Medicaid Washington DC,f,SKDC0,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11280,Acordia National,f,87815,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11281,"ACS Benefit Services, Inc. ",f,72467,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11282,ACS Consulting Services,f,72467,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11283,Administrative Enterprises,f,SB530,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11284,"Administrative Services, Inc ",f,59141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11285,Advantage by Bridgeway Health Solutions,f,68056,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11286,Advantage by Buckeye Community Health Plan,f,68056,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11287,Advantage by Managed Health Services,f,68056,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11288,Advantage by Superior HealthPlan,f,68056,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11289,Aetna,f,60054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11290,Aetna Better Health,f,60054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11291,Aetna Better Health - IL Medicaid,f,26337,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11292,Aetna Better Health - PA,f,23228,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11293,Aetna Better Health NY,f,34734,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11294,Aetna Better Health NY Medicaid,f,34734,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11295,Aetna Better Health of California,f,128CA,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11296,Aetna Better Health of Florida,f,128FL,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11297,Aetna Better Health of Kentucky,f,128KY,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11298,Aetna Better Health of Louisiana,f,128LA,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11299,Aetna Better Health of Maryland,f,128MD,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11300,Aetna Better Health of Michigan,f,128MI,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11301,Aetna Better Health of New Jersey,f,46320,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11302,Aetna Better Health of New York,f,34734,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11303,Aetna Better Health of Ohio,f,50023,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11304,Aetna Better Health of Virginia,f,128VA,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11305,Aetna Better Health of West Virginia,f,128WV,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11315,Albuquerque JPPO - New Mexico ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11316,Albuquerque PPO - New Mexico ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11317,All Savers Insurance Co.,f,81400,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
